Date,Open,High,Low,Close,Adj Close,Volume,SMA_10,SMA_30,SMA_50
2019-11-12,201.02999877929688,207.11000061035156,196.33999633789062,198.00999450683594,194.211669921875,4132200,,,
2019-11-13,195.67999267578125,201.2100067138672,194.55999755859375,198.07000732421875,194.27053833007812,1513300,,,
2019-11-14,198.3300018310547,199.89999389648438,197.0800018310547,198.75,194.93748474121094,1211200,,,
2019-11-15,199.60000610351562,200.8800048828125,198.3300018310547,200.27000427246094,196.42831420898438,825900,,,
2019-11-18,199.41000366210938,200.0,196.89999389648438,197.6699981689453,193.87820434570312,1156200,,,
2019-11-19,195.97000122070312,198.5399932861328,195.36000061035156,196.6699981689453,192.89736938476562,738800,,,
2019-11-20,196.22999572753906,197.75999450683594,194.77999877929688,196.2100067138672,192.44622802734375,1123700,,,
2019-11-21,195.47999572753906,196.66000366210938,194.52000427246094,195.2100067138672,191.46539306640625,936200,,,
2019-11-22,196.24000549316406,196.5399932861328,194.10000610351562,194.8000030517578,191.063232421875,631500,,,
2019-11-25,195.05999755859375,197.4199981689453,194.3699951171875,195.72000122070312,191.96559143066406,914400,193.3564025878906,,
2019-11-26,195.1699981689453,196.47999572753906,193.97999572753906,196.32000732421875,192.55409240722656,902600,193.19064483642578,,
2019-11-27,197.67999267578125,197.67999267578125,195.27000427246094,196.4199981689453,192.6521759033203,659500,193.02880859375,,
2019-11-29,196.27000427246094,197.3000030517578,194.8300018310547,195.83999633789062,192.08331298828125,330800,192.74339141845704,,
2019-12-02,196.67999267578125,198.6199951171875,193.77000427246094,193.97000122070312,190.24917602539062,592100,192.12547760009767,,
2019-12-03,191.13999938964844,194.8300018310547,190.2100067138672,194.0399932861328,190.3178253173828,966500,191.76943969726562,,
2019-12-04,194.6199951171875,197.55999755859375,194.55999755859375,195.00999450683594,191.26919555664062,911100,191.60662231445312,,
2019-12-05,196.02000427246094,196.64999389648438,195.32000732421875,196.42999267578125,192.6619873046875,543600,191.6281982421875,,
2019-12-06,199.05999755859375,199.7100067138672,197.86000061035156,198.17999267578125,194.37840270996094,635800,191.91949920654298,,
2019-12-09,198.24000549316406,200.30999755859375,198.24000549316406,198.75999450683594,194.94728088378906,891700,192.3079040527344,,
2019-12-10,198.3699951171875,200.72999572753906,197.33999633789062,199.75,195.9182891845703,641500,192.703173828125,,
2019-12-11,201.10000610351562,203.57000732421875,200.25,203.25999450683594,199.3609619140625,720300,193.38386077880858,,
2019-12-12,202.86000061035156,205.69000244140625,201.5,205.47000122070312,201.52857971191406,828900,194.27150115966796,,
2019-12-13,205.6199951171875,206.9499969482422,202.17999267578125,203.47000122070312,199.56692504882812,938500,195.01986236572264,,
2019-12-16,204.9499969482422,205.99000549316406,203.10000610351562,204.41000366210938,200.48890686035156,963000,196.04383544921876,,
2019-12-17,203.86000061035156,204.86000061035156,201.67999267578125,203.6199951171875,199.71405029296875,908300,196.98345794677735,,
2019-12-18,204.41000366210938,204.8300018310547,202.38999938964844,203.85000610351562,199.9396514892578,1039300,197.85050354003906,,
2019-12-19,203.67999267578125,204.14999389648438,202.25,202.83999633789062,198.9490203857422,893300,198.47920684814454,,
2019-12-20,204.0800018310547,204.4600067138672,202.07000732421875,204.35000610351562,200.43006896972656,1256100,199.0843734741211,,
2019-12-23,201.9199981689453,204.52000427246094,200.8300018310547,204.3000030517578,200.3810272216797,1001600,199.62774810791015,,
2019-12-24,204.66000366210938,204.66000366210938,202.27999877929688,202.83999633789062,198.9490203857422,253900,199.93082122802736,195.33013254801432,
2019-12-26,203.27999877929688,204.22000122070312,201.3699951171875,204.22000122070312,200.30255126953125,297600,200.0249801635742,195.53316192626954,
2019-12-27,204.6300048828125,204.72000122070312,202.57000732421875,202.97000122070312,199.0765380859375,451100,199.77977600097657,195.6933619181315,
2019-12-30,203.2899932861328,204.27999877929688,202.6699981689453,202.92999267578125,199.0372772216797,337000,199.72681121826173,195.83002166748048,
2019-12-31,202.5399932861328,204.1199951171875,202.3300018310547,202.6699981689453,198.78228759765625,436300,199.5561492919922,195.90848744710286,
2020-01-02,203.82000732421875,205.63999938964844,202.60000610351562,205.63999938964844,201.6953125,638200,199.7542755126953,196.16905771891277,
2020-01-03,201.91000366210938,203.22999572753906,200.50999450683594,202.63999938964844,198.75286865234375,542600,199.6355972290039,196.36424102783204,
2020-01-06,201.47999572753906,204.32000732421875,200.9199981689453,204.25,200.3319854736328,1006900,199.77389373779297,196.627099609375,
2020-01-07,204.5,205.27000427246094,202.25,203.8300018310547,199.92001342773438,708700,199.72288818359374,196.90892028808594,
2020-01-08,202.77999877929688,206.8000030517578,200.52000427246094,205.3800048828125,201.44029235839844,671100,199.8288146972656,197.25482228597005,
2020-01-09,206.7100067138672,207.94000244140625,204.97000122070312,207.1699981689453,203.19595336914062,676100,200.25350799560547,197.62916768391926,
2020-01-10,207.0399932861328,207.6199951171875,204.6999969482422,205.08999633789062,201.15586853027344,777200,200.33883972167968,197.9158935546875,
2020-01-13,205.0,206.60000610351562,204.64999389648438,206.5800018310547,202.6172637939453,547400,200.69291229248046,198.24806315104166,
2020-01-14,206.5800018310547,206.5800018310547,202.3000030517578,202.89999389648438,199.0078582763672,805000,200.68997039794922,198.4788813273112,
2020-01-15,202.50999450683594,205.4199981689453,201.63999938964844,202.22999572753906,198.3507080078125,711600,200.64681243896484,198.74893239339193,
2020-01-16,203.6300048828125,205.32000732421875,202.57000732421875,205.25999450683594,201.32260131835938,562900,200.6095413208008,199.11575826009116,
2020-01-17,205.77999877929688,206.5500030517578,204.49000549316406,204.74000549316406,200.8125762939453,594600,200.81551208496094,199.43387095133463,
2020-01-21,203.52000427246094,204.32000732421875,201.3699951171875,201.7899932861328,197.91915893554688,719200,200.57422943115233,199.6091100056966,
2020-01-22,203.6300048828125,203.8699951171875,199.08999633789062,199.3800048828125,195.55538940429688,682900,200.13776702880858,199.64834289550782,
2020-01-23,199.6699981689453,202.77000427246094,196.75,202.3000030517578,198.41940307617188,766200,199.83567810058594,199.7640803019206,
2020-01-24,202.75,203.14999389648438,197.8699951171875,199.72000122070312,195.8888702392578,631200,199.10496978759767,199.76309967041016,197.0697750854492
2020-01-27,195.3300018310547,196.0800018310547,193.61000061035156,193.9199981689453,190.20013427734375,835600,198.0093963623047,199.4577387491862,196.98954437255858
2020-01-28,195.8000030517578,197.44000244140625,194.16000366210938,196.6699981689453,192.89736938476562,1165300,197.03740692138672,199.17003173828124,196.96208099365234
2020-01-29,196.0,199.38999938964844,193.3300018310547,196.1699981689453,192.40696716308594,1163000,196.3773178100586,198.93136647542318,196.91147064208985
2020-01-30,194.38999938964844,196.35000610351562,189.75999450683594,194.80999755859375,191.07305908203125,1151100,195.64955291748046,198.6175048828125,196.8043655395508
2020-01-31,193.4499969482422,194.30999755859375,190.39999389648438,191.66000366210938,187.98348999023438,1250400,194.31564178466797,198.2264862060547,196.6864712524414
2020-02-03,192.85000610351562,197.16000366210938,192.49000549316406,194.55999755859375,190.82785034179688,1019900,193.31716918945312,197.92275950113932,196.64508087158202
